-3.889393647094473661e+00,2.363789851490191996e-01,4.635519038264248604e-01,-1.632634532922292228e-02,3.171156510379736365e-02,2.827911142087059515e-01,-1.998816838013287300e-01,-1.700213307924831330e-01,-6.755420038135913074e-01,-3.022517296854265734e-01,8.631914553353979558e-02,-3.159657343800426621e-01
-3.889393647094473661e+00,2.363789851490191996e-01,4.635519038264248604e-01,-1.632634532922292228e-02,3.171156510379736365e-02,2.827911142087059515e-01,-1.998816838013287300e-01,-1.700213307924831330e-01,-6.755420038135913074e-01,-3.022517296854265734e-01,8.631914553353979558e-02,-3.159657343800426621e-01
-3.887377396960798759e+00,2.285498750877007768e-01,4.726800730530241745e-01,-2.252437787280926404e-02,3.928581694967078763e-02,2.784861469200501927e-01,-1.994692611440741503e-01,-1.647989311453283701e-01,-6.845777438758801070e-01,-2.942064833755198561e-01,7.612937070852568433e-02,-3.059395569349759314e-01
-3.534769697444490877e+00,-7.689540972999198143e-01,8.132521058421621207e-01,-8.846095819016498718e-02,5.922940587172643712e-01,-9.867278642981505699e-02,-6.078056545836348912e-01,1.035725044797689565e-01,-7.204328904322083726e-01,-3.563076886127427567e-01,5.807045930890836899e-02,-6.728638027782479769e-01
-2.785997137394094381e+00,5.299494610510883941e-02,1.220936747224156571e+00,3.702326157841583920e-01,7.085878489543524505e-01,6.459564398318091705e-01,4.316592519781746740e-01,9.331556593229175522e-01,-3.946114757960742514e-01,-1.247844527713929175e+00,-1.099598953996302919e+00,-5.745966237834567725e-01
-2.052443120993186376e+00,-2.450026732408796815e-01,2.065862081017505458e-01,2.294271892775570643e-01,1.022463313704833343e+00,1.151221214609446042e+00,9.901424170636401456e-01,-1.866746646076221650e-01,7.581340307484139007e-01,4.086505432448409025e-01,3.047040983914261689e-02,4.148385579006667045e-01
-1.753076173096566270e+00,-2.406282271099539072e-01,1.597738089344444279e-02,3.224675261174144714e-01,1.846012081609011535e+00,1.665694079741999234e+00,1.292629609107652788e+00,-5.681116464719511150e-01,-8.796035154330175132e-01,2.629348973776468035e-01,3.546706317913275730e-01,9.560861134048957988e-01
-1.396357701456128142e+00,-2.335088754927606702e-01,2.509139918544695536e-01,2.562501962546644418e-01,9.335455532867735773e-01,9.777218382315756573e-01,3.120481237889279336e-01,4.236112408155408571e-01,-1.591794550379705520e+00,-1.249703878863498568e-02,-6.592955248206555652e-02,1.893139743545110942e+00
-1.176255801426856040e+00,-3.830969900031872544e-01,5.622798276054453703e-01,3.397993838975263414e-01,4.464909530988768749e-01,4.023584392800333420e-01,2.869790675956747639e-01,8.391696335968359399e-01,-5.130094851050441829e-01,4.211177515522062098e-01,6.386869285748210390e-02,3.925275475600331077e-01
-1.068849202040825785e+00,-4.689189224209124873e-01,2.099449776288621894e-01,1.084159106003327044e-01,3.190019475934460780e-01,3.827691434904659795e-01,1.217737597172390718e+00,8.023174314815429975e-01,-1.036394262884702933e+00,-7.343913989065711800e-02,4.057085517412276632e-01,1.118567994631393114e+00
-8.514919456438627687e-01,2.955620992187766682e-04,5.829043675034212280e-01,4.530291487359128788e-01,1.003208150696547785e+00,8.348764384861462329e-01,7.852989309606371870e-01,4.142687543091541080e-01,4.414976133549872728e-01,6.797750349691237259e-01,-2.935172598052889215e-01,5.967168847674920729e-01
-7.011720768137290616e-01,-5.616062370627324845e-04,1.276220207830247033e-01,5.090613235379176649e-01,7.941380443123761124e-01,6.028210083198964897e-01,5.969602278266455953e-01,4.906959589384254361e-01,7.578646312905668037e-01,9.690987299072162386e-01,-3.660169161782180769e-01,7.743424200183287587e-01
-6.340410232827553560e-01,-1.185163567866862055e-01,5.453617584731114132e-01,8.134488164508443253e-01,1.370080982553545379e+00,7.193970249595150745e-01,1.149629396161676365e+00,3.266159496350780622e-01,3.170310131786517882e-01,4.856404867897725075e-01,2.935737819863978304e-01,-5.107730613385847995e-01
